Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
KAG_prussian_constitutionalism_ADJ;Tokugawan;;;;;;;;;;;;;
KAG_hms_government_ADJ;Tokugawan;;;;;;;;;;;;;
MCK;Manchuria;;;;;;;;;;;;;
MCK_absolute_monarchy;Great Jin;;;;;;;;;;;;;
MCK_absolute_monarchy_ADJ;Jurchen;;;;;;;;;;;;;
MCK_fascist_dictatorship;Manzhouguo;Manchukuo;Manchukuo;;;;;;;;;;;
MCK_presidential_dictatorship;Fengtien Clique;;;;;;;;;;;;;
MCK_ADJ;Manchu;Mandchou;Manchu;;;;;;;;;;;
MCK_presidential_dictatorship_ADJ;Fengtien;;;;;;;;;;;;;
QNG;Great Hong;;;;;;;;;;;;;
QNG_ADJ;Hong;;;;;;;;;;;;;
MEX;Nova Cartagena;;;;;;;;;;;;;
MEX_ADJ;Novocartagenian;;;;;;;;;;;;;
MEX_democracy;United States of Paneeca;;;;;;;;;;;;;
MEX_prov_gov_liberal;Los Reformistas;;;;;;;;;;;;;
MEX_presidential_dictatorship;The Novocartagenian Junta;;;;;;;;;;;;;
MEX_prov_gov_conservative;Los Conservadores;;;;;;;;;;;;;
MEX_parliamentary_republic;Republic of Paneeca;;;;;;;;;;;;;
MEX_proletarian_dictatorship;People's Republic of Paneeca;;;;;;;;;;;;;
MEX_democracy_ADJ;Paneecan;;;;;;;;;;;;;
MEX_parliamentary_republic_ADJ;Paneecan;;;;;;;;;;;;;
MEX_proletarian_dictatorship_ADJ;Paneecan;;;;;;;;;;;;;
MEX_fascist_dictatorship;The Novocartagenian State;;;;;;;;;;;;;
MEX_absolute_monarchy;The Empire of Nova Cartagena;;;;;;;;;;;;;
MEX_prussian_constitutionalism;The Empire of Nova Cartagena;;;;;;;;;;;;;
UCA;The Mayapan;;;;;;;;;;;;;
UCA_ADJ;Mayan;;;;;;;;;;;;;
POR;Espanha;;;;;;;;;;;;;
POR_absolute_monarchy;The Kingdom of Espanhas;;;;;;;;;;;;;
POR_prussian_constitutionalism;The Kingdom of Espanhas;;;;;;;;;;;;;
POR_hms_government;The Kingdom of Espanhas;;;;;;;;;;;;;
POR_ADJ;Espanhian;;;;;;;;;;;;;
POR_absolute_empire;The Espanhian Empire;;;;;;;;;;;;;
POR_semi_constitutional_empire;The Espanhian Empire;;;;;;;;;;;;;
POR_constitutional_empire;The Espanhian Empire;;;;;;;;;;;;;
UPB;Kingdom of Espanhas and West Indies;;;;;;;;;;;;;
UPB_ADJ;Lusitanian;;;;;;;;;;;;;
EIC;State of India;;;;;;;;;;;;;
EIC_ADJ;Indo-Espanhian;;;;;;;;;;;;;
MGL;Mongolia;;;;;;;;;;;;;
MGL_ADJ;Mongolian;;;;;;;;;;;;;
MGL_absolute_monarchy;Khalkha;;;;;;;;;;;;;
MGL_prussian_constitutionalism;Khalkha;;;;;;;;;;;;;
MGL_hms_government;Khalkha;;;;;;;;;;;;;
MGL_absolute_empire;The Mongol Empire;;;;;;;;;;;;;
MGL_semi_constitutional_empire;The Mongol Empire;;;;;;;;;;;;;
MGL_constitutional_empire;The Mongol Empire;;;;;;;;;;;;;
VNZ;Waq Al Waq;;;;;;;;;;;;;
VNZ_ADJ;Al Waqui;;;;;;;;;;;;;
MOR_absolute_empire;The Saadi Empire;;;;;;;;;;;;;
MOR_semi_constitutional_empire;The Saadi Empire;;;;;;;;;;;;;
MOR_constitutional_empire;The Saadi Empire;;;;;;;;;;;;;
MOR_absolute_empire_ADJ;Saadi;;;;;;;;;;;;;
MOR_semi_constitutional_empire_ADJ;Saadi;;;;;;;;;;;;;
MOR_constitutional_empire_ADJ;Saadi;;;;;;;;;;;;;
BOH;Bohemia;;;;;;;;;;;;;
BOH_ADJ;Bohemia;;;;;;;;;;;;;
RUT;Chervonarus;;;;;;;;;;;;;
RUT_ADJ;Chervonaruthenian;;;;;;;;;;;;;
BLR;Belarus;;;;;;;;;;;;;
BLR_ADJ;Belaruthenian;;;;;;;;;;;;;
RUS;Ruthenia;;;;;;;;;;;;;
RUS_ADJ;Ruthenian;;;;;;;;;;;;;
RUS_absolute_monarchy;Rus' Tsardom;;;;;;;;;;;;;
RUS_prussian_constitutionalism;Rus' Tsardom;;;;;;;;;;;;;
RUS_hms_government;Rus' Tsardom;;;;;;;;;;;;;
RUS_absolute_empire;The Empire of all Russia;;;;;;;;;;;;;
RUS_semi_constitutional_empire;The Russian Empire;;;;;;;;;;;;;
RUS_constitutional_empire;The Russian Empire;;;;;;;;;;;;;
PLR;Poland-Lithuania-Ruthenia;;;;;;;;;;;;;
PLR_ADJ;Commonwealth;;;;;;;;;;;;;
PLR_democracy;The Republic of Three Nations;;;;;;;;;;;;;
PLR_fascist_dictatorship;The Eurasian State;;;;;;;;;;;;;
PLR_proletarian_dictatorship;Commonwealth of Councilary Republics;;;;;;;;;;;;;
PLR_absolute_monarchy;The Commonwealth;;;;;;;;;;;;;
PLR_prussian_constitutionalism;The Commonwealth;;;;;;;;;;;;;
PLR_hms_goverment;The Commonwealth;;;;;;;;;;;;;
ENG_fascist_dictatorship;The Union of Britain;;;;;;;;;;;;;
ENG_radical_republic;The Republic of Britain;;;;;;;;;;;;;
ENG_democracy;The United Republic;;;;;;;;;;;;;
ENG_presidential_dictatorship;The United Republic;;;;;;;;;;;;;
ENG_parliamentary_republic;The Union State of Britain;;;;;;;;;;;;;
ENG_commonwealth;The British Commonwealth;;;;;;;;;;;;;
