Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV3446;Rio Pardo de Minas;;;;;;;;;
PROV2404;Madeira;;;;;;;;;
PROV2401;Isana;;;;;;;;;
PROV2281;Esmeraldas;;;;;;;;;;;;;
PROV1363;Pakse;;;;;;;;;;;;;
PROV1364;Phnom Penh;;;;;;;;;;;;;
PROV1464;Jolo;;;;;;;;;;;;;
PROV1925;Oyo Ile;Oyo Ile;Oyo Ile;;Oyo Ile;;;;;;;;;
PROV1926;Ibadan;Ibadan;Ibadan;;Ibadan;;;;;;;;;
PROV1862;Kythira;;;;;;;;;;;;;
PROV2745;Gulf of C�diz;Golfe de Cadix;Golf von Cadiz;;Golfo de C?iz;;;;;;;;;
PROV2336;Rapa Nui;;;;;;;;;;;;;
PROV2309;Tocopilla;Tocopilla;Tocopilla;;Tocopilla;;;;;;;;;
PROV2330;Concepci�n;Concepci�n;Concepci�n;;Concepci�n;;;;;;;;;
PROV3447;Coto;;;;;;;;;;;;;
PROV1987;Likasi;Likasi;Likasi;;Likasi;;;;;;;;;
PROV2165;San Juan Bautista;San Juan Bautista;San Juan Bautista;;San Juan Bautista;;;;;;;;;
PROV1182;Orda;;;;;;;;;;;;;
PROV798;Nis;;;;;;;;;;;;;
PROV3247;West Hawaii;Hawaii ouest;West-Hawaii;;Hawai occidental;;;;;;;;;
PROV3248;West Magellan Strait;Ouest du d�troit de Magellan;Westliche Magellanstra�e;;Estrecho de Magallanes occidental;;;;;;;;;
PROV1723;Balboa;Balboa;Balboa;;Balboa;;;;;;;;;
PROV353;�sel;�sel;�sel;;�sel;;;;;;;;;
PROV2918;Bight of Benin;Golfe du B�nin;Bucht von Benin;;Ensenada de Ben�n;;;;;;;;;
PROV2921;Coast of Guinea;C�te de Guin�e;K�ste von Guinea;;Costa de Guinea;;;;;;;;;
PROV2922;Coast of Senegambia;C�te de S�n�gambie;K�ste von Senegambia;;Costa de Senegambia;;;;;;;;;
PROV734;Trient;;;;;;;;;;;;;
PROV251;Godth�b;;;;;;;;;;;;;
PROV350;Narwa;;;;;;;;;;;;;
PROV351;Pernau;;;;;;;;;;;;;
PROV355;Wolmar;;;;;;;;;;;;;
PROV356;Dinaburg;;;;;;;;;;;;;
PROV357;Mitau;;;;;;;;;;;;;
PROV358;Windau;;;;;;;;;;;;;
PROV359;Libau;;;;;;;;;;;;;
PROV360;Vilna;;;;;;;;;;;;;
PROV361;Kovno;;;;;;;;;;;;;
PROV362;Mariyampole;;;;;;;;;;;;;
PROV363;Ponevezh;;;;;;;;;;;;;
PROV364;Shyaulyai;;;;;;;;;;;;;
PROV365;Mah�;;;;;;;;;;;;;
PROV366;Arhus;;;;;;;;;;;;;
PROV367;Alborg;;;;;;;;;;;;;
PROV371;Apenrade;;;;;;;;;;;;;
PROV387;Bruxelles;;;;;;;;;;;;;
PROV393;Tournai;;;;;;;;;;;;;
PROV403;St-Quentin;;;;;;;;;;;;;
PROV408;Reims;;;;;;;;;;;;;
PROV415;Le Havre;;;;;;;;;;;;;
PROV430;Vichy;;;;;;;;;;;;;
PROV431;Chalon;;;;;;;;;;;;;
PROV435;Laval;;;;;;;;;;;;;
PROV446;Aubusson;;;;;;;;;;;;;
PROV824;Yanya;;;;;;;;;;;;;
PROV853;Ergiri;;;;;;;;;;;;;
PROV447;P�rigueux;;;;;;;;;;;;;
PROV452;St-�tienne;;;;;;;;;;;;;
PROV457;Tarbes;;;;;;;;;;;;;
PROV459;Mont-de-Marsan;;;;;;;;;;;;;
PROV463;Narbonne;;;;;;;;;;;;;
PROV468;North Greenland Ice Shelf;;;;;;;;;;;;;
PROV453;Privas;;;;;;;;;;;;;
PROV471;Fr�jus;;;;;;;;;;;;;
PROV626;K�niggr�tz;;;;;;;;;;;;;
PROV628;Aussig;;;;;;;;;;;;;
PROV633;Pre�burg;;;;;;;;;;;;;
PROV634;Trentschin;;;;;;;;;;;;;
PROV635;Komorn;;;;;;;;;;;;;
PROV636;Neusohl;;;;;;;;;;;;;
PROV647;Gro�wardein;;;;;;;;;;;;;
PROV651;Sathmar;;;;;;;;;;;;;
PROV652;Temeschburg;;;;;;;;;;;;;
PROV653;Reschitz;;;;;;;;;;;;;
PROV654;Klausenburg;;;;;;;;;;;;;
PROV655;Wei�enburg;;;;;;;;;;;;;
PROV656;Diemrich;;;;;;;;;;;;;
PROV659;Kronstadt;;;;;;;;;;;;;
PROV660;Oderhellen;;;;;;;;;;;;;
PROV661;Bistritz;;;;;;;;;;;;;
PROV694;Thorn;;;;;;;;;;;;;
PROV717;Kalish;;;;;;;;;;;;;
PROV712;L�dz;;;;;;;;;;;;;
PROV710;Skierniewice;;;;;;;;;;;;;
PROV709;Lomzha;;;;;;;;;;;;;
PROV708;Plotsk;;;;;;;;;;;;;
PROV706;Var�ava;;;;;;;;;;;;;
PROV701;Gnesen;;;;;;;;;;;;;
PROV767;Marburg;;;;;;;;;;;;;
PROV768;Laibach;;;;;;;;;;;;;
PROV772;Sissek;;;;;;;;;;;;;
PROV3330;Maria-Theresiopel;;;;;;;;;;;;;
PROV3331;Gro�kikinda;;;;;;;;;;;;;
PROV794;Beograd;;;;;;;;;;;;;
PROV797;Cacak;;;;;;;;;;;;;
PROV2538;Neusatz;;;;;;;;;;;;;
PROV791;Mitrowitz;;;;;;;;;;;;;
PROV792;Pantschowa;;;;;;;;;;;;;
PROV2582;Cattaro;;;;;;;;;;;;;
PROV774;Zengg;;;;;;;;;;;;;
PROV780;Spalato;;;;;;;;;;;;;
PROV781;Zadar;;;;;;;;;;;;;
PROV782;Ragusa;;;;;;;;;;;;;
PROV951;Stryi;;;;;;;;;;;;;
PROV953;Stanislau;;;;;;;;;;;;;
PROV980;Lugansk;;;;;;;;;;;;;
PROV984;Kem;;;;;;;;;;;;;
PROV988;Pudozh;;;;;;;;;;;;;
PROV993;Vytegra;;;;;;;;;;;;;
PROV1023;Kostroma;;;;;;;;;;;;;
PROV1038;Novy Uzen;;;;;;;;;;;;;
PROV1046;Novocherkassk;;;;;;;;;;;;;
PROV2149;Monterrey;;;;;;;;;;;;;
PROV1090;Tiflis;;;;;;;;;;;;;
PROV1092;Kutais;;;;;;;;;;;;;
PROV1095;Sukhum;;;;;;;;;;;;;
PROV2533;Neumarkt;;;;;;;;;;;;;
PROV2557;Ribe;;;;;;;;;;;;;
PROV2577;Taslidja;;;;;;;;;;;;;
PROV2584;Bielitz;;;;;;;;;;;;;
PROV2636;South Greenland Ice Shelf;;;;;;;;;;;;;
PROV3475;Dam�o;;;;;;;;;;;;;
PROV3476;Yanaon;;;;;;;;;;;;;
PROV3477;Orkney Islands;;;;;;;;;;;;;
PROV3478;Highlands;;;;;;;;;;;;;
PROV3479;Hebrides;;;;;;;;;;;;;
PROV3480;Isles of Scilly;;;;;;;;;;;;;
PROV3481;Heidelberg;;;;;;;;;;;;;
PROV3482;Fernando de Noronha;;;;;;;;;;;;;
PROV3483;Prag;;;;;;;;;;;;;
PROV3484;Kolguyev and Novaya Zemlya Islands;;;;;;;;;;;;;
PROV3485;Baffin Island;;;;;;;;;;;;;
PROV3494;Rekohu;;;;;;;;;;;;;
PROV3041;Argentine Rise;Soul�vement de l'Argentine;Argentinisches Seegebirge;;Falla de Argentina;;;;;;;;;
PROV2092;Klein Roo;;;;;;;;;;;;;
PROV3448;Santa Clara;;;;;;;;;;;;;
PROV3449;San Joaqu�n;;;;;;;;;;;;;
PROV3450;Santa B�rbara;;;;;;;;;;;;;
PROV3451;Southern Mojave;;;;;;;;;;;;;
PROV3452;Mariposa;;;;;;;;;;;;;
PROV3453;Cabrillo;;;;;;;;;;;;;
PROV3454;Puerto Trinidad;;;;;;;;;;;;;
PROV3455;Cabo Mendocino;;;;;;;;;;;;;
PROV3456;Puerto Pe�asco;;;;;;;;;;;;;
PROV3457;Santa Rosa;;;;;;;;;;;;;
PROV3458;R�o Buenaventura;;;;;;;;;;;;;
PROV3459;Desierto Aguasalada;;;;;;;;;;;;;
PROV3460;Ganado;;;;;;;;;;;;;
PROV3461;Warm Springs;;;;;;;;;;;;;
PROV3462;Siuslaw;;;;;;;;;;;;;
PROV3463;Princeton;;;;;;;;;;;;;
PROV3464;Yakima;;;;;;;;;;;;;
PROV3465;North Cascades;;;;;;;;;;;;;
PROV3466;Spokane;;;;;;;;;;;;;
PROV3467;Dillon;;;;;;;;;;;;;
PROV3468;Riverton;;;;;;;;;;;;;
PROV629;Pilsen;;;;;;;;;;;;;
PROV630;Budweis;;;;;;;;;;;;;
PROV631;Br�nn;;;;;;;;;;;;;
PROV632;Olm�tz;;;;;;;;;;;;;
PROV637;Kaschau;;;;;;;;;;;;;
PROV657;Hermannstadt;;;;;;;;;;;;;
PROV911;Bayir;;;;;;;;;;;;;
PROV955;Kamenets;;;;;;;;;;;;;
PROV956;Rovno;;;;;;;;;;;;;
PROV959;Zhitomir;;;;;;;;;;;;;
PROV960;Berdichev;;;;;;;;;;;;;
PROV961;Cherkassy;;;;;;;;;;;;;
PROV969;Podolsk;;;;;;;;;;;;;
PROV971;Elysavet;;;;;;;;;;;;;
PROV974;Priluki;;;;;;;;;;;;;
PROV975;Berdyansk;;;;;;;;;;;;;
PROV981;Arkhangelsk;;;;;;;;;;;;;
PROV1020;Nizhny Novgorod;;;;;;;;;;;;;
PROV1028;Vyatka;;;;;;;;;;;;;
PROV1068;Ulala;;;;;;;;;;;;;
PROV1116;Astarabad;;;;;;;;;;;;;
PROV1137;Jahrom;;;;;;;;;;;;;
PROV1138;Kangan;;;;;;;;;;;;;
PROV1141;Hajjiabad;;;;;;;;;;;;;
PROV1145;Bunpoor;;;;;;;;;;;;;
PROV1158;al-Nefud;;;;;;;;;;;;;
PROV1185;Shu;;;;;;;;;;;;;
PROV1186;Alma Ata;;;;;;;;;;;;;
PROV1188;Qaratal;;;;;;;;;;;;;
PROV1189;Bishkek;;;;;;;;;;;;;
PROV1190;Naryn;;;;;;;;;;;;;
PROV1191;Khiva;;;;;;;;;;;;;
PROV1192;Nukus;;;;;;;;;;;;;
PROV1193;Ak-Mechet;;;;;;;;;;;;;
PROV1194;Kuryk;;;;;;;;;;;;;
PROV1195;Tashkent;;;;;;;;;;;;;
PROV1196;Dashhowuz;;;;;;;;;;;;;
PROV1197;Turkestan;;;;;;;;;;;;;
PROV1198;Bukhoro;;;;;;;;;;;;;
PROV1199;Samarkand;;;;;;;;;;;;;
PROV1200;Qarshi;;;;;;;;;;;;;
PROV1201;Khojand;;;;;;;;;;;;;
PROV1202;Kokand;;;;;;;;;;;;;
PROV1203;Osh;;;;;;;;;;;;;
PROV1204;Ashqabat;;;;;;;;;;;;;
PROV1205;Kyzyl-Su;;;;;;;;;;;;;
PROV1206;Merv;;;;;;;;;;;;;
PROV1207;Kulob;;;;;;;;;;;;;
PROV1208;Khorug;;;;;;;;;;;;;
PROV1211;Sheberghan;;;;;;;;;;;;;
PROV1304;Vellore;;;;;;;;;;;;;
PROV1398;Bangko;;;;;;;;;;;;;
PROV1399;Palembang;;;;;;;;;;;;;
PROV1400;Indragiri;;;;;;;;;;;;;
PROV1401;Siak;;;;;;;;;;;;;
PROV1402;Riouw;;;;;;;;;;;;;
PROV1403;The Lampongs;;;;;;;;;;;;;
PROV1404;Bangka;;;;;;;;;;;;;
PROV1405;Kota Radja;;;;;;;;;;;;;
PROV1406;Medan;;;;;;;;;;;;;
PROV1407;Tapaktoean;;;;;;;;;;;;;
PROV1408;Padang;;;;;;;;;;;;;
PROV1409;Siboga;;;;;;;;;;;;;
PROV1410;Bencoolen;Benkoeloe;;;;;;;;;;;;
PROV1411;Nias;;;;;;;;;;;;;
PROV1413;Batavia;;;;;;;;;;;;;
PROV1414;Preanger;;;;;;;;;;;;;
PROV1415;Tjeribon;;;;;;;;;;;;;
PROV1416;Jogjakarta;;;;;;;;;;;;;
PROV1417;Semarang;;;;;;;;;;;;;
PROV1418;Soerabaja;;;;;;;;;;;;;
PROV1419;Soerakarta;;;;;;;;;;;;;
PROV1420;Probolinggo;;;;;;;;;;;;;
PROV1421;Madoera;;;;;;;;;;;;;
PROV1422;Moeraleve;;;;;;;;;;;;;
PROV1423;Matrapoera;;;;;;;;;;;;;
PROV1424;Pasir;;;;;;;;;;;;;
PROV1425;Tandjungredeb;;;;;;;;;;;;;
PROV1172;Haima;;;;;;;;;;;;;
PROV1426;Pontianak;;;;;;;;;;;;;
PROV1427;Kota Waringin;;;;;;;;;;;;;
PROV1428;Kapoea;;;;;;;;;;;;;
PROV1429;Samarinda;;;;;;;;;;;;;
PROV1430;Makassar;;;;;;;;;;;;;
PROV1432;Mamoedjoe;;;;;;;;;;;;;
PROV1433;Menado;;;;;;;;;;;;;
PROV1434;Gorontalo;;;;;;;;;;;;;
PROV1435;Masamba;;;;;;;;;;;;;
PROV1436;Palopo;;;;;;;;;;;;;
PROV1437;Bulon;;;;;;;;;;;;;
PROV1438;Karangasam;;;;;;;;;;;;;
PROV1439;Roeteng;;;;;;;;;;;;;
PROV1440;Soembawa;;;;;;;;;;;;;
PROV1441;Soemba;;;;;;;;;;;;;
PROV1442;Lombok;;;;;;;;;;;;;
PROV1443;Rote;;;;;;;;;;;;;
PROV1444;Larantoeka;;;;;;;;;;;;;
PROV1445;Koepang;;;;;;;;;;;;;
PROV1446;Dili;;;;;;;;;;;;;
PROV1447;Ternate;;;;;;;;;;;;;
PROV1448;Tidore;;;;;;;;;;;;;
PROV1449;Ambon;;;;;;;;;;;;;
PROV1450;Ceram;;;;;;;;;;;;;
PROV1451;Aroe;;;;;;;;;;;;;
PROV1452;Biak;;;;;;;;;;;;;
PROV1453;Fakfak;;;;;;;;;;;;;
PROV1454;Jayapura;;;;;;;;;;;;;
PROV1560;Merauke;;;;;;;;;;;;;
PROV1594;Kashgar;;;;;;;;;;;;;
PROV1716;Tindouf;;;;;;;;;;;;;
PROV1717;Bouira;;;;;;;;;;;;;
PROV901;al-Hasakha;;;;;;;;;;;;;
PROV904;In�rida;;;;;;;;;;;;;
PROV924;Zakho;;;;;;;;;;;;;
PROV907;al-Bawda;;;;;;;;;;;;;
PROV864;Karesi;;;;;;;;;;;;;
PROV870;Usak;;;;;;;;;;;;;
PROV2419;Campo Grande;;;;;;;;;;;;;
PROV1149;Salehabad;;;;;;;;;;;;;
PROV1718;Timimoun;;;;;;;;;;;;;
PROV1719;In Guezzam;;;;;;;;;;;;;
PROV1720;Bashar;;;;;;;;;;;;;
PROV1721;El Tarf;;;;;;;;;;;;;
PROV1722;In Zghmir;;;;;;;;;;;;;
PROV1739;Abu Uruq;;;;;;;;;;;;;
PROV1740;Bonjol;;;;;;;;;;;;;
PROV1758;Farafra;;;;;;;;;;;;;
PROV1774;Laayoune;;;;;;;;;;;;;
PROV1779;Langkat;;;;;;;;;;;;;
PROV1782;Asahan;;;;;;;;;;;;;
PROV1801;Nara;;;;;;;;;;;;;
PROV1804;Hamdallahi;;;;;;;;;;;;;
PROV1808;Dosso;;;;;;;;;;;;;
PROV1809;Lulama;;;;;;;;;;Temp, don't actually know where Lulama is;;;
PROV1810;Say;;;;;;;;;;Temp, till something better is found;;;
PROV1812;Agadez;;;;;;;;;;;;;
PROV1813;Tizi Ouzou;;;;;;;;;;;;;
PROV1814;Bilma;;;;;;;;;;;;;
PROV1817;Mellit;;;;;;;;;;;;;
PROV1972;Mpongwe;;;;;;;;;;;;;
PROV2244;Cocos Islands;;;;;;;;;;;;;
PROV2564;Laqiya Arba'in;;;;;;;;;;;;;
PROV2586;Rub'al-Khali;;;;;;;;;;;;;
PROV2599;Fairbanks;;;;;;;;;;;;;
PROV2607;Charklik;;;;;;;;;;;;;
PROV2609;Araouane;;;;;;;;;;;;;
PROV2619;Sasyr;;;;;;;;;;;;;
PROV2622;Bar-le-Duc;;;;;;;;;;;;;
PROV449;N�mes;;;;;;;;;;;;;
PROV2637;Sandai;;;;;;;;;;;;;
PROV2640;Gwadar;;;;;;;;;;;;;
PROV2649;Wadjo;;;;;;;;;;;;;
PROV2654;Khatanga;;;;;;;;;;;;;
PROV2664;Oskemen;;;;;;;;;;;;;
PROV2666;Otrozhny;;;;;;;;;;;;;
PROV2667;Nayba;;;;;;;;;;;;;
PROV2668;Kussurkund;;;;;;;;;;;;;
PROV2673;Zhilinda;;;;;;;;;;;;;
PROV2680;Ust-Tareya;;;;;;;;;;;;;
PROV2802;Coast of Atjeh;;;;;;;;;;;;;
PROV2803;Billiton Strait;;;;;;;;;;;;;
PROV2807;Flores Sea;;;;;;;;;;;;;
PROV2810;Savoe Sea;;;;;;;;;;;;;
PROV2811;Biak Bay;;;;;;;;;;;;;
PROV2813;Celebes Sea;;;;;;;;;;;;;
PROV2814;Karimata Strait;;;;;;;;;;;;;
PROV2852;Molucca Sea;;;;;;;;;;;;;
PROV2853;Palau;;;;;;;;;;;;;
PROV2856;Java Sea;;;;;;;;;;;;;
PROV2857;Coast of New Guinea;;;;;;;;;;;;;
PROV2862;Java Trench;;;;;;;;;;;;;
PROV3077;Arafure Sea;;;;;;;;;;;;;
PROV979;Taganrog;;;;;;;;;;;;;
PROV1047;Rostov;;;;;;;;;;;;;
AUS_628;Sudetenland;;;;;;;;;;;;;
RUS_945;Vitebsk;;;;;;;;;;;;;
RUS_947;G�mel;;;;;;;;;;;;;
RUS_964;Taurida;;;;;;;;;;;;;
RUS_968;Podolia;;;;;;;;;;;;;
RUS_977;Voronezh;;;;;;;;;;;;;
RUS_978;Kharkov;;;;;;;;;;;;;
RUS_979;Don;;;;;;;;;;;;;
RUS_981;Pomorye;;;;;;;;;;;;;
RUS_990;Kostroma;;;;;;;;;;;;;
RUS_1016;Severia;;;;;;;;;;;;;
RUS_1020;Nizhgorod;;;;;;;;;;;;;
RUS_1044;Orenburg;;;;;;;;;;;;;
RUS_1034;Samara;;;;;;;;;;;;;
RUS_1039;Saratov;;;;;;;;;;;;;
RUS_1060;Samara;;;;;;;;;;;;;
ABU_1162;El Hejer;;;;;;;;;;;;;
YEM_1178;Yemen;;;;;;;;;;;;;
ENG_1304;Vellore;;;;;;;;;;;;;
NET_1398;South Sumatra;;;;;;;;;;;;;
NET_1401;East Sumatra;;;;;;;;;;;;;
ATJ_1405;Atjeh;;;;;;;;;;;;;
SAK_1406;North Sumatra;;;;;;;;;;;;;
PAG_1408;West Sumatra;;;;;;;;;;;;;
YEM_1412;Hadramaut;;;;;;;;;;;;;
NET_1415;Central Java;;;;;;;;;;;;;
NET_1416;Princely States;;;;;;;;;;;;;
NET_1422;South Borneo;;;;;;;;;;;;;
BAL_1438;Soenda Islands;;;;;;;;;;;;;
NET_1451;Western New Guinea;;;;;;;;;;;;;
MOR_1694;Tafilalt;;;;;;;;;;;;;
ENG_1721;Coromandel Coast;;;;;;;;;;;;;
EGY_1758;Sahara El Gharbia;;;;;;;;;;;;;
ENG_1819;Chad;;;;;;;;;;;;;
ENG_1825;Kamen;;;;;;;;;;;;;
FRA_2406;Desolation Islands;;;;;;;;;;;;;
NEJ_1157;Rub'al-Khali;;;;;;;;;;;;;
MEX_85_1;Alta California;;;;;;;;;;;;;
MEX_85_2;California Central;;;;;;;;;;;;;
SPA_492;Vasconia;;;;;;;;;;;;;
SPA_495;Aragon;;;;;;;;;;;;;
TUR_819;West Macedonia;Mac�doine de l'Ouest;Westmazedonien;;Macedonia Occidental;;;;;;;;;
MOR_1683;Taza;Taza;Taza;;Taza;;;;;;;;;
AUS_734;S�dtirol;Tyrol du Sud;S�dtirol;;Tirol Meridional;;;;;;;;;
AUS_633;Slowakei;;;;;;;;;;;;;
BRZ_2401;Acre;;;;;;;;;;;;;
RUS_968;Podolye;;;;;;;;;
RUS_958;Kiev;;;;;;;;;
EGY_921;Filastin;;;;;;;;;
BRZ_2416;Matto Grosso;;;;;;;;;
BRZ_2421;Goyaz;;;;;;;;;
BRZ_2446_1;Minas Geraes;;;;;;;;;
PEU_278;Ucayali;;;;;;;;;
AUS_702;Westgalizien;;;;;;;;;
RUS_1102;Shirvan;;;;;;;;;;;;;
AZB_1105;Arran;;;;;;;;;;;;;
PER_1112;Azarbayjan-e Sharqi;;;;;;;;;;;;;
PER_3353;Azarbayjan-e Qarbi;;;;;;;;;;;;;
PER_3350;Qa'inat;;;;;;;;;;;;;
PER_1122;Kordestan;;;;;;;;;;;;;
PER_1127;Iraq-e Ajami-ye Janubi;;;;;;;;;;;;;
PER_1121;Iraq-e Ajami-ye Shomali;;;;;;;;;;;;;
PER_1130;Yazd va Semnan;;;;;;;;;;;;;
EGY_897;Aleppo;;;;;;;;;;;;;
TUR_3300;Dayr al-Zur;;;;;;;;;;;;;
TUR_863;Bursa;;;;;;;;;;;;;
AFG_1215;Sistan;;;;;;;;;;;;;
AFG_1213;Hazaristan;;;;;;;;;;;;;
AFG_1218;East Pashtunistan;;;;;;;;;;;;;
AFG_1209;West Pashtunistan;;;;;;;;;;;;;
